facility_id,facility_name,facility_type,district,state,bed_count,data_source
F00001,PHC Khordha #1,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00002,PHC Khordha #2,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00003,PHC Khordha #3,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00004,PHC Khordha #4,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00005,PHC Khordha #5,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00006,PHC Khordha #6,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00007,PHC Khordha #7,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00008,PHC Khordha #8,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00009,PHC Khordha #9,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00010,PHC Khordha #10,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00011,PHC Khordha #11,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00012,PHC Khordha #12,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00013,PHC Khordha #13,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00014,PHC Khordha #14,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00015,PHC Khordha #15,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00016,PHC Khordha #16,PHC,Khordha,Odisha,7,real_state_totals_synthetic_district_distribution
F00017,PHC Khordha #17,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00018,PHC Khordha #18,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00019,PHC Khordha #19,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00020,PHC Khordha #20,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00021,PHC Khordha #21,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00022,PHC Khordha #22,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00023,PHC Khordha #23,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00024,PHC Khordha #24,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00025,PHC Khordha #25,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00026,PHC Khordha #26,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00027,PHC Khordha #27,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00028,PHC Khordha #28,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00029,PHC Khordha #29,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00030,PHC Khordha #30,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00031,PHC Khordha #31,PHC,Khordha,Odisha,7,real_state_totals_synthetic_district_distribution
F00032,PHC Khordha #32,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00033,PHC Khordha #33,PHC,Khordha,Odisha,7,real_state_totals_synthetic_district_distribution
F00034,PHC Khordha #34,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00035,PHC Khordha #35,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00036,PHC Khordha #36,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00037,PHC Khordha #37,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00038,PHC Khordha #38,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00039,PHC Khordha #39,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00040,PHC Khordha #40,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00041,PHC Khordha #41,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00042,PHC Khordha #42,PHC,Khordha,Odisha,9,real_state_totals_synthetic_district_distribution
F00043,PHC Khordha #43,PHC,Khordha,Odisha,7,real_state_totals_synthetic_district_distribution
F00044,PHC Khordha #44,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00045,PHC Khordha #45,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00046,PHC Khordha #46,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00047,PHC Khordha #47,PHC,Khordha,Odisha,5,real_state_totals_synthetic_district_distribution
F00048,PHC Khordha #48,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00049,PHC Khordha #49,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00050,PHC Khordha #50,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00051,PHC Khordha #51,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00052,PHC Khordha #52,PHC,Khordha,Odisha,7,real_state_totals_synthetic_district_distribution
F00053,PHC Khordha #53,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00054,PHC Khordha #54,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00055,PHC Khordha #55,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00056,PHC Khordha #56,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00057,PHC Khordha #57,PHC,Khordha,Odisha,8,real_state_totals_synthetic_district_distribution
F00058,PHC Khordha #58,PHC,Khordha,Odisha,6,real_state_totals_synthetic_district_distribution
F00059,PHC Khordha #59,PHC,Khordha,Odisha,10,real_state_totals_synthetic_district_distribution
F00060,PHC Khordha #60,PHC,Khordha,Odisha,4,real_state_totals_synthetic_district_distribution
F00061,CHC Khordha #1,CHC,Khordha,Odisha,43,real_state_totals_synthetic_district_distribution
F00062,CHC Khordha #2,CHC,Khordha,Odisha,34,real_state_totals_synthetic_district_distribution
F00063,CHC Khordha #3,CHC,Khordha,Odisha,37,real_state_totals_synthetic_district_distribution
F00064,CHC Khordha #4,CHC,Khordha,Odisha,23,real_state_totals_synthetic_district_distribution
F00065,CHC Khordha #5,CHC,Khordha,Odisha,49,real_state_totals_synthetic_district_distribution
F00066,CHC Khordha #6,CHC,Khordha,Odisha,32,real_state_totals_synthetic_district_distribution
F00067,CHC Khordha #7,CHC,Khordha,Odisha,22,real_state_totals_synthetic_district_distribution
F00068,CHC Khordha #8,CHC,Khordha,Odisha,37,real_state_totals_synthetic_district_distribution
F00069,CHC Khordha #9,CHC,Khordha,Odisha,29,real_state_totals_synthetic_district_distribution
F00070,CHC Khordha #10,CHC,Khordha,Odisha,46,real_state_totals_synthetic_district_distribution
F00071,District Hospital Khordha #1,District Hospital,Khordha,Odisha,260,real_state_totals_synthetic_district_distribution
F00072,PHC Cuttack #1,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00073,PHC Cuttack #2,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00074,PHC Cuttack #3,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00075,PHC Cuttack #4,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00076,PHC Cuttack #5,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00077,PHC Cuttack #6,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00078,PHC Cuttack #7,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00079,PHC Cuttack #8,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
