facility_id,medicine_name,current_quantity,reorder_threshold,stock_status,stock_profile_assigned,data_source
F00001,Paracetamol,44,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Ibuprofen,90,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Amoxicillin,60,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Ciprofloxacin,58,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Metronidazole,57,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Oral Rehydration Salts (ORS),51,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Zinc Sulphate,90,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Folic Acid,49,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Iron + Folic Acid,86,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Chlorpheniramine,90,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Povidone Iodine,100,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00001,Normal Saline (0.9% NaCl),77,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Paracetamol,32,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Ibuprofen,20,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Amoxicillin,19,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Ciprofloxacin,21,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Metronidazole,25,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Oral Rehydration Salts (ORS),26,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Zinc Sulphate,35,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Folic Acid,38,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Iron + Folic Acid,19,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Chlorpheniramine,36,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Povidone Iodine,25,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00002,Normal Saline (0.9% NaCl),41,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00003,Paracetamol,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00003,Ibuprofen,7,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Amoxicillin,5,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Ciprofloxacin,7,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Metronidazole,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00003,Oral Rehydration Salts (ORS),6,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Zinc Sulphate,4,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Folic Acid,5,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Iron + Folic Acid,7,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Chlorpheniramine,6,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Povidone Iodine,6,8,Low,Low,simulated_no_public_realtime_data_available
F00003,Normal Saline (0.9% NaCl),5,8,Low,Low,simulated_no_public_realtime_data_available
F00004,Paracetamol,91,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Ibuprofen,64,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Amoxicillin,49,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Ciprofloxacin,48,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Metronidazole,67,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Oral Rehydration Salts (ORS),49,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Zinc Sulphate,65,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Folic Acid,97,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Iron + Folic Acid,65,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Chlorpheniramine,81,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Povidone Iodine,59,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00004,Normal Saline (0.9% NaCl),94,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Paracetamol,57,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Ibuprofen,62,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Amoxicillin,35,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Ciprofloxacin,52,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Metronidazole,33,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Oral Rehydration Salts (ORS),63,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Zinc Sulphate,46,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Folic Acid,67,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Iron + Folic Acid,51,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Chlorpheniramine,64,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Povidone Iodine,40,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00005,Normal Saline (0.9% NaCl),32,12,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Paracetamol,38,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Ibuprofen,42,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Amoxicillin,29,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Ciprofloxacin,38,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Metronidazole,30,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Oral Rehydration Salts (ORS),48,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Zinc Sulphate,41,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Folic Acid,53,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Iron + Folic Acid,47,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Chlorpheniramine,34,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Povidone Iodine,47,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00006,Normal Saline (0.9% NaCl),46,10,Healthy,Healthy,simulated_no_public_realtime_data_available
